Owner Address,Token ID
0x2627c39DaBac510F47f2A692225e70C9B6249276,1
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,2
0x442C5676E31Df8E0018C949b09141fD333980BcC,3
0xf4bfCB94F2057e86D02cB15ea0b622b5ec313e6f,4
0x475bC988C75CfC0a42dB269868866B19f9B63350,5
0x4Cd209Eef1308EEDd8F0406E887942e236af7cf6,6
0x22E8A877ccb705B880c6E06C53Dd365dcbb07ff7,7
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,8
0xf4B0c292865a48E8C2fC2fbD414351658b8c80B8,9
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,10
0xf5D9460f6F16C1401C7e34B6C4dc5327bBA22ea2,11
0xf4bfCB94F2057e86D02cB15ea0b622b5ec313e6f,12
0x4e7b1f5d52889144eb73ed4aFF7B2DBaA511C6F3,13
0x99d305594E27441cfADf235f5480872243629dFA,14
0x2B634D62f444305B9c12fE7690C1145439f8Bf12,15
0x442C5676E31Df8E0018C949b09141fD333980BcC,16
0xAffC193174e262e1201961ac3B5286A82D0e622e,17
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,18
0x330d556CbFE6F2c09e72700dF89D8Fb2C23E6282,19
0x9C415b77385b5D20357ecccB0B67810c3095149e,20
0x475bC988C75CfC0a42dB269868866B19f9B63350,21
0xCC1DCDc2e8D338dA4134222388313e260ac770A4,22
0x4c2A9F904D97E868D3339AB98071140E46A458CF,23
0xa1DD7b9fD9FE82Dacd5414089279054940BAF7B0,24
0x12119EF521Aa8f0A99A440D0F4Cee6de635e9Bdc,25
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,26
0x99d305594E27441cfADf235f5480872243629dFA,27
0x99d305594E27441cfADf235f5480872243629dFA,28
0x99d305594E27441cfADf235f5480872243629dFA,29
0x99d305594E27441cfADf235f5480872243629dFA,30
0x99d305594E27441cfADf235f5480872243629dFA,31
0x99d305594E27441cfADf235f5480872243629dFA,32
0x99d305594E27441cfADf235f5480872243629dFA,33
0x99d305594E27441cfADf235f5480872243629dFA,34
0x2627c39DaBac510F47f2A692225e70C9B6249276,35
0x99d305594E27441cfADf235f5480872243629dFA,36
0xCC1DCDc2e8D338dA4134222388313e260ac770A4,37
0x99d305594E27441cfADf235f5480872243629dFA,38
0x99d305594E27441cfADf235f5480872243629dFA,39
0x12119EF521Aa8f0A99A440D0F4Cee6de635e9Bdc,40
0xde051b453e12C0a0179C5D591Ea11E298D5F2aF3,41
0x442C5676E31Df8E0018C949b09141fD333980BcC,42
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,43
0x330d556CbFE6F2c09e72700dF89D8Fb2C23E6282,44
0x9E0eB8fE4D4eb15a32E49dc4E945E96e11eC3887,45
0x597aAB0305ed1D37d1a009854303e927C468b52c,46
0xf4bfCB94F2057e86D02cB15ea0b622b5ec313e6f,47
0x12119EF521Aa8f0A99A440D0F4Cee6de635e9Bdc,48
0x7DE83e144EFe9626E8711A97Af6fe760AeC4139B,49
0xD0A4116352091748BaE29646A800a17eCDcC79e4,50
0xcA19D045317224c3BB84af1a403F70Bd3589EF56,51
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,52
0xDE8a68D24C9542Fc8C1Ec6C7f881543D92404bdE,53
0x597aAB0305ed1D37d1a009854303e927C468b52c,54
0x014D3239E6a0b9cB825527C8c365472a3e271028,55
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,56
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,57
0xDE8a68D24C9542Fc8C1Ec6C7f881543D92404bdE,58
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,59
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,60
0x2627c39DaBac510F47f2A692225e70C9B6249276,61
0x2627c39DaBac510F47f2A692225e70C9B6249276,62
0x57696a563B66dFA0c180747217d0EdCF17A9cD51,63
0x99d305594E27441cfADf235f5480872243629dFA,64
0x99d305594E27441cfADf235f5480872243629dFA,65
0x99d305594E27441cfADf235f5480872243629dFA,66
0xCC1DCDc2e8D338dA4134222388313e260ac770A4,67
0x99d305594E27441cfADf235f5480872243629dFA,68
0x2627c39DaBac510F47f2A692225e70C9B6249276,69
0x99d305594E27441cfADf235f5480872243629dFA,70
0x99d305594E27441cfADf235f5480872243629dFA,71
